----------------------------------------
Begin PBS Prologue Thu Aug 17 12:49:02 EDT 2017 1502988542
Job ID:		97888995.gm-1r16-n04.guillimin.clumeq.ca
Username:	hophy
Group:		fyw-423-02
Nodes:		sw-4r04-n08
End PBS Prologue Thu Aug 17 12:49:02 EDT 2017 1502988542
----------------------------------------
Reading input from file input.out
Dim			:0.94407 
 Delr			:0.1 
 N				:48000 
 Maxbin_x			:413 
 Maxbin_y			:3167 
 Max_Maxbin			:3167 
 Drmax			:0.472035 
 Isave			:50 
 Iprint			:50 
 Iratio			:1 
 Cells.x			:20 
 Cells.y			:155 
 Region.x			:80 
 Region.y			:600 
 
Setting up initial square array configuration ....	 
 
number of particle	:48000
write out the inital configuration ...

START OF MARKOV CHAIN


ACM:	Ratio:	Drmax:
 9450  0.4976  0.0693 
 9500  0.4868  0.0719 
 9550  0.5076  0.0747 
 9600  0.4916  0.0701 
 9650  0.5124  0.0728 
 9700  0.5016  0.0756 
 9750  0.4858  0.0710 
 9800  0.5086  0.0737 
 9850  0.4994  0.0693 
 9900  0.4875  0.0719 
 9950  0.5101  0.0747 
10000  0.4981  0.0701 
10050  0.4822  0.0728 
10100  0.5028  0.0756 
10150  0.4870  0.0710 
10200  0.5118  0.0737 
10250  0.4996  0.0692 
10300  0.4883  0.0719 
10350  0.5050  0.0746 
10400  0.4922  0.0701 
10450  0.4849  0.0728 
10500  0.5046  0.0756 
10550  0.4913  0.0710 
10600  0.5111  0.0737 
10650  0.4983  0.0692 
10700  0.5234  0.0719 
10750  0.5087  0.0746 
10800  0.4957  0.0701 
10850  0.5135  0.0728 
10900  0.5055  0.0756 
10950  0.4906  0.0710 
11000  0.5134  0.0737 
11050  0.4993  0.0692 
11100  0.4900  0.0719 
11150  0.5063  0.0746 
11200  0.4909  0.0701 
11250  0.4845  0.0728 
11300  0.5048  0.0755 
11350  0.4904  0.0710 
11400  0.5148  0.0737 
11450  0.5014  0.0765 
11500  0.4880  0.0718 
11550  0.5095  0.0746 
11600  0.5021  0.0774 
11650  0.5175  0.0727 
11700  0.5068  0.0755 
11750  0.4914  0.0709 
11800  0.5117  0.0737 
11850  0.5020  0.0765 
11900  0.4928  0.0718 
11950  0.5071  0.0746 
12000  0.4968  0.0700 
12050  0.5152  0.0727 
12100  0.5025  0.0755 
12150  0.4925  0.0709 
12200  0.5101  0.0736 
12250  0.5050  0.0765 
12300  0.4899  0.0718 
12350  0.5085  0.0746 
12400  0.4984  0.0700 
12450  0.4808  0.0727 
12500  0.5045  0.0755 
12550  0.4895  0.0709 
12600  0.5105  0.0736 
12650  0.4983  0.0692 
12700  0.4905  0.0718 
12750  0.5089  0.0745 
12800  0.4967  0.0700 
12850  0.5113  0.0727 
12900  0.5034  0.0755 
12950  0.4920  0.0709 
13000  0.5108  0.0736 
13050  0.4990  0.0691 
13100  0.4869  0.0718 
13150  0.5075  0.0745 
13200  0.4969  0.0700 
13250  0.5124  0.0727 
13300  0.5050  0.0755 
13350  0.4935  0.0709 
13400  0.5138  0.0736 
13450  0.5017  0.0764 
13500  0.4900  0.0718 
13550  0.5087  0.0745 
13600  0.4974  0.0700 
13650  0.5191  0.0727 
13700  0.5031  0.0754 
13750  0.4969  0.0709 
13800  0.5094  0.0736 
13850  0.5045  0.0764 
13900  0.4889  0.0718 
13950  0.5116  0.0745 
14000  0.4979  0.0700 
14050  0.4847  0.0727 
14100  0.5071  0.0754 
14150  0.4930  0.0709 
14200  0.5132  0.0736 
14250  0.5022  0.0764 
14300  0.4875  0.0717 
14350  0.5093  0.0745 
14400  0.4966  0.0700 
14450  0.4850  0.0726 
14500  0.5088  0.0754 
14550  0.4909  0.0708 
14600  0.5201  0.0735 
14650  0.5055  0.0764 
14700  0.4930  0.0717 
14750  0.5135  0.0745 
14800  0.5016  0.0773 
14850  0.4836  0.0726 
14900  0.5035  0.0754 
14950  0.4966  0.0708 
15000  0.5149  0.0735 
15050  0.5016  0.0763 
15100  0.4938  0.0717 
15150  0.5139  0.0744 
15200  0.4965  0.0699 
15250  0.4850  0.0726 
15300  0.5085  0.0754 
15350  0.4935  0.0708 
15400  0.5151  0.0735 
15450  0.5008  0.0763 
15500  0.4870  0.0717 
15550  0.5083  0.0744 
15600  0.4986  0.0699 
15650  0.5176  0.0726 
15700  0.5063  0.0754 
15750  0.4954  0.0708 
15800  0.5160  0.0735 
15850  0.5046  0.0763 
15900  0.4905  0.0717 
15950  0.5126  0.0744 
16000  0.4963  0.0699 
16050  0.4820  0.0726 
16100  0.5037  0.0753 
16150  0.4906  0.0708 
16200  0.5151  0.0735 
16250  0.5041  0.0763 
16300  0.4897  0.0717 
16350  0.5122  0.0744 
16400  0.4969  0.0699 
16450  0.4825  0.0726 
16500  0.5099  0.0753 
16550  0.4966  0.0708 
16600  0.5177  0.0735 
16650  0.5055  0.0763 
16700  0.4903  0.0716 
16750  0.5093  0.0744 
16800  0.4975  0.0699 
16850  0.4855  0.0725 
16900  0.5048  0.0753 
16950  0.4952  0.0707 
17000  0.4805  0.0735 
17050  0.5031  0.0763 
17100  0.4895  0.0716 
17150  0.5142  0.0744 
17200  0.4991  0.0699 
17250  0.4880  0.0725 
17300  0.5109  0.0753 
17350  0.4953  0.0707 
17400  0.4878  0.0734 
17450  0.5013  0.0762 
17500  0.4925  0.0716 
17550  0.5129  0.0744 
17600  0.5009  0.0772 
17650  0.4839  0.0725 
17700  0.5084  0.0753 
17750  0.4947  0.0707 
17800  0.5198  0.0734 
17850  0.5038  0.0762 
17900  0.4930  0.0716 
17950  0.5098  0.0743 
18000  0.4994  0.0698 
18050  0.4826  0.0725 
18100  0.5097  0.0753 
18150  0.4958  0.0707 
18200  0.5128  0.0734 
18250  0.5013  0.0762 
18300  0.4905  0.0716 
18350  0.5125  0.0743 
18400  0.4946  0.0698 
18450  0.4854  0.0725 
18500  0.5155  0.0753 
18550  0.4971  0.0707 
18600  0.4849  0.0734 
18650  0.5049  0.0762 
18700  0.4925  0.0716 
18750  0.5142  0.0743 
18800  0.4989  0.0698 
18850  0.4834  0.0725 
18900  0.5076  0.0752 
18950  0.4969  0.0707 
19000  0.4798  0.0734 
19050  0.5045  0.0762 
19100  0.4898  0.0716 
19150  0.5117  0.0743 
19200  0.5024  0.0771 
19250  0.4865  0.0725 
19300  0.5046  0.0752 
19350  0.4973  0.0707 
19400  0.5149  0.0734 
19450  0.5058  0.0762 
19500  0.4920  0.0715 
19550  0.5139  0.0743 
19600  0.4995  0.0698 
19650  0.4851  0.0724 
19700  0.5074  0.0752 
19750  0.4923  0.0706 
19800  0.5160  0.0733 
19850  0.5064  0.0761 
19900  0.4838  0.0715 
19950  0.5098  0.0743 
20000  0.4999  0.0698 
20050  0.4882  0.0724 
20100  0.5069  0.0752 
20150  0.4941  0.0706 
20200  0.5127  0.0733 
20250  0.5043  0.0761 
20300  0.4900  0.0715 
20350  0.5139  0.0742 
20400  0.5021  0.0771 
20450  0.4849  0.0724 
20500  0.5049  0.0752 
20550  0.4976  0.0706 
20600  0.5176  0.0733 
20650  0.5056  0.0761 
20700  0.4913  0.0715 
20750  0.5096  0.0742 
20800  0.5013  0.0771 
